key,ko,en,jp
GOVERNANCE_PROPOSAL_TITLE3,재투표 종료,,
GOVERNANCE_PROPOSAL_TITLE4,투표 종료,,
GOVERNANCE_PROPOSAL_TITLE5,요약,,
GOVERNANCE_PROPOSAL_TITLE6,본문,,
GOVERNANCE_PROPOSAL_TITLE7,비고,,
GOVERNANCE_PROPOSAL_TITLE8,총 투표자산,,
GOVERNANCE_PROPOSAL_TITLE9,투표 목록,,
GOVERNANCE_PROPOSAL_DESC9,후보들 중에 마음에 드는 후보가 없는 경우 다른 후보를 등록할 수 있습니다.,,
GOVERNANCE_PROPOSAL_TITLE10,후보,,
GOVERNANCE_PROPOSAL_TITLE11,투표자,,
GOVERNANCE_PROPOSAL_TITLE12,가중치,,
GOVERNANCE_PROPOSAL_TITLE13,투표하기,,
GOVERNANCE_PROPOSAL_BUTTON1,후보 추가,,
GOVERNANCE_PROPOSAL_PROMPT_TITLE1,후보 추가,,
GOVERNANCE_PROPOSAL_PROMPT_DEC1,선택지로 추가할 후보를 입력해주시기 바랍니다. 후보를 추가하면 추가한 당사자는 해당 후보로 자동으로 투표합니다.,,
GOVERNANCE_PROPOSAL_PROMPT_BUTTON1,추가하기,,
GOVERNANCE_PROPOSAL_ALERT_TITLE1,실패,,
GOVERNANCE_PROPOSAL_ALERT_DESC1,투표에 실패했습니다.,,
GOVERNANCE_PROPOSAL_BUTTON2,투표함,,
GOVERNANCE_PROPOSAL_BUTTON3,투표하기,,
GOVERNANCE_PROPOSAL_CONFIRM_TITLE1,투표하기,,
GOVERNANCE_PROPOSAL_CONFIRM_DESC1,"후보에 투표하시겠습니까? 투표후 다른 후보에 재투표가 가능하며, 투표 취소는 불가능합니다.",,
GOVERNANCE_PROPOSAL_CONFIRM_BUTTON1,투표하기,,
GOVERNANCE_PROPOSAL_WARNING_DESC1,검토중인 제안입니다. 검토가 완료되면 투표를 진행하실 수 있습니다.,,
GOVERNANCE_PROPOSAL_BUTTON4,통과,,
GOVERNANCE_PROPOSAL_BUTTON5,기각,,
GOVERNANCE_PROPOSAL_PROMPT_TITLE2,기각,,
GOVERNANCE_PROPOSAL_PROMPT_DEC2,기각 사유 입력,,
GOVERNANCE_PROPOSAL_PROMPT_BUTTON2,기각,,
GOVERNANCE_PROPOSAL_BUTTON6,재투표 진행,,
MINING_V1_TITLE,V1 Pool,,
MINING_V1_DESC1,4월 15일 이후로 믹스분배는 더이상되지않습니다,,
MINING_V1_DESC2,아래 NFT를 보유하고 있으면 MIX를 분배받게 됩니다. NFT 홀더들은 쌓여진 MIX를 인출하기 위해 쌓여진 MIX 수량의 10%를 선납해야합니다. 이를 통해 MIX의 유통량이 늘어납니다.,,
MINING_V1_DESC3,"- MIX 받기에는 2번의 트랜잭션이 발생합니다. 한번은 토큰 사용 허락을 위한것이며, 다른 하나는 실제로 받기 위한 것입니다. ",,
MINING_TITLE,NFT 채굴,,
MINING_DESC1,아래 NFT를 보유하고 있으면 MIX를 분배받게 됩니다. NFT 홀더들은 쌓여진 MIX를 인출하기 위해 쌓여진 MIX 수량의 10%를 선납해야합니다. 이를 통해 MIX의 유통량이 늘어납니다.,,
MINING_DESC2,"- MIX 받기에는 2번의 트랜잭션이 발생합니다. 한번은 토큰 사용 허락을 위한것이며, 다른 하나는 실제로 받기 위한 것입니다.",,
MINING_ITEM_TITLE,쌓인 MIX,,
MINING_ITEM_BUTTON,받기,,
MINING_ITEM_CONFIRM_TITLE1,믹스 구매하기,,
MINING_ITEM_CONFIRM_DESC1,NFT로부터 MIX를 수령받기 위해서는 수령받을 MIX의 10%의 MIX를 선납해야 합니다.,,
MINING_ITEM_CONFIRM_BUTTON1,구매,,
MINING_TAB_TITLE,쌓인 총 MIX,,
MINING_TAB_BUTTON,한꺼번에 받기,,
MINING_TAB_CONFIRM_TITLE1,믹스 구매하기,,
MINING_TAB_CONFIRM_DESC1,NFT로부터 MIX를 수령받기 위해서는 수령받을 MIX의 10%의 MIX를 선납해야 합니다.,,
MINING_TAB_CONFIRM_BUTTON1,구매,,
BURN_TITLE,MIX 소각,,
BURN_DESC1,MIX가 소각될 때 마다 소각량의 0.3%가 부스에 대한 지분에 따라 분배됩니다.,,
BURN_DESC2,"예치 시에는 2번의 트랜잭션이 발생합니다. 한번은 토큰 사용 허락을 위한 것이며,\n다른 하나는 실제 예치를 위한 것입니다.",,
BURN_INPUT1,소각할 액수를 넣어주세요,,
BURN_BUTTON1,소각하기,,
BURN_BUTTON2,최대 수량,,
BOOTH_TITLE,MIX 스테이킹,,
BOOTH_TITLE1,지난 24시간 동안의 APR,,
BOOTH_TITLE2,예치된 총 MIX,,
BOOTH_TITLE3,지난 24시간 동안 소각된 MIX,,
BOOTH_TITLE4,지난 24시간 동안 분배된 MIX,,
BOOTH_DESC1,MIX가 소각될 때 마다 소각량의 0.3%가 부스에 대한 지분에 따라 분배됩니다.,,
BOOTH_INPUT1,예치할 액수를 넣어주세요.,,
BOOTH_BUTTON1,예치하기,,
BOOTH_BUTTON2,최대 수량,,
BOOTH_DESC2,"예치 시에는 2번의 트랜잭션이 발생합니다. 한번은 토큰 사용 허락을 위한 것이며, 다른 하나는 실제 예치를 위한 것입니다.",,
BOOTH_TITLE5,MIX 스테이킹 해제,,
BOOTH_INPUT2,예치할 액수를 넣어주세요.,,
BOOTH_BUTTON3,해제하기,,
TURNTABLE_TITLE,턴테이블,,
TURNTABLE_DESC,"턴테이블은 MIX를 중-장기로 스테이킹하고자 하는 사용자들을 위한 시스템입니다. 턴테이블의 볼륨에 따라 MIX를 분배받는 비율이 결정됩니다. 턴테이블의 등급에 따라 가격과 볼륨이 다르며, 턴테이블에는 배터리가 존재합니다. \n배터리가 모두 소모된 턴테이블은 다시 MIX를 통해 배터리를 충전해야 지속적으로 MIX를 얻을 수 있습니다. 턴테이블은 분해가 가능하며, 분해함녀 조립시 사용된 MIX의 80%를 돌려받습니다.",,
TURNTABLE_TITLE1,나의 턴테이블,,
TURNTABLE_BUTTON1,턴테이블 구매하기,,
TURNTABLE_TITLE2,리스닝 중인 턴테이블,,
TURNTABLE_DESC2,현재 리스닝 중인 턴테이블이 없습니다.,,
TURNTABLE_TITLE3,전체 턴테이블,,
TURNTABLE_DESC3,총 볼륨,,
TURNTABLE_UPDATE_TITLE,턴테이블 정보 수정,,
TURNTABLE_UPDATE_BACK_BUTTON,< 뒤로가기,,
TURNTABLE_UPDATE_TITLE1,턴테이블 이름,,
TURNTABLE_UPDATE_INPUT1,턴테이블 이름,,
TURNTABLE_UPDATE_TITLE2,턴테이블 설명,,
TURNTABLE_UPDATE_INPUT2,턴테이블 설명,,
TURNTABLE_UPDATE_TITLE3,BGM 유튜브 링크,,
TURNTABLE_UPDATE_INPUT3,BGM 유튜브 링크,,
TURNTABLE_UPDATE_TITLE4,관련 트위터,,
TURNTABLE_UPDATE_INPUT4,관련 트위터,,
TURNTABLE_UPDATE_TITLE5,관련 카카오톡 오픈 채팅방,,
TURNTABLE_UPDATE_INPUT5,관련 카카오톡 오픈 채팅방,,
TURNTABLE_UPDATE_BUTTON1,저장하기,,
TURNTABLE_UPDATE_BUTTON2,폐쇄하기,,
TURNTABLE_UPDATE_CONFIRM_TITLE,폐쇄하기,,
TURNTABLE_UPDATE_CONFIRM_DESC,턴테이블을 폐쇄하시겠습니까? 턴테이블을 폐쇄하면 턴테이블 구매 비용의 80%를 되돌려받습니다. 이 작업은 돌이킬 수 없습니다.,,
TURNTABLE_BUY_TITLE,턴테이블 구매,,
TURNTABLE_BUY_DESC1,"턴테이블은 MIX를 중~장기로 스테이킹하고자 하는 사용자들을 위한 시스템입니다. 믹스를 분배받는 시스템입니다. 턴테이블의 볼륨에 따라 MIX를 분배받는 비율이 결정됩니다. 턴테이블의 등급에 따라 가격과 볼륨이 다르며, 턴테이블에는 배터리가 존재합니다. 배터리가 모두 소모된 턴테이블은 다시 MIX를 통해 배터리를 충전해야 지속적으로 MIX를 얻을 수 있습니다. 턴테이블은 분해가 가능하며, 분해하면 조립시 사용된 MIX의 80%를 돌려받습니다.",,
TURNTABLE_BUY_DESC2,턴테이블을 구매하시고 리스너를 유치해보세요. 리스너에게 분배되는 MIX 중 30%는 턴테이블 소유자에게 분배됩니다!,,
TURNTABLE_BUY_DESC3,"배터리 수명이 다 된 턴테이블은 배터리를 충전해야합니다.\n배터리 충전 가격은 턴테이블의 가격의 1/5와 비례하며, 턴테이블의 가격과 같은 액수의 MIX로 배터리를 충전하면 턴테이블 수명의 5배의 수명이 더해집니다.",,
TURNTABLE_BUY_DESC4,"충전에 사용된 믹스는 전량 소각되고, 턴테이블 분해시에 돌려받을 수 없습니다.",,
TURNTABLE_DETAIL_TITLE,턴테이블 #,,
TURNTABLE_DETAIL_TITLE1,리스닝 메이트,,
TURNTABLE_DETAIL_BUTTON1,MIX 수령받기,,
TURNTABLE_DETAIL_BUTTON2,메이트 등록,,
TURNTABLE_DETAIL_BUTTON3,메이트 제외,,
TURNTABLE_DETAIL_BUTTON4,메이트 홀더 지갑 보기,,
TURNTABLE_DETAIL_TITLE2,리스닝 LP 토큰,,
TURNTABLE_DETAIL_DESC2,LP 토큰을 리스너로 등록할 수 있습니다. 리스너로 등록된 동안에는 Klayswap 에어드롭 풀로부터 MIX를 분배받을 수 없습니다. 따라서 반드시 Klayswap 에어드롭 풀과 수익률을 비교하시기 바랍니다.,,
TURNTABLE_DETAIL_DESC3,폐쇄된 턴테이블입니다.,,
TURNTABLE_DETAIL_DESC4,소유자,,
TURNTABLE_DETAIL_DESC5,- 쌓인 MIX,,
TURNTABLE_DETAIL_BUTTON5,충전하기,,
TURNTABLE_DETAIL_PROMPT_TITLE1,충전하기,,
TURNTABLE_DETAIL_PROMPT_DESC1,"얼마만큼의 MIX를 충전하시겠습니까? 배터리 충전 가격은 턴테이블의 가격의 1/5와 비례하며, 턴테이블의 가격과 같은 액수의 MIX로 배터리를 충전하면 턴테이블 수명의 5배의 수명이 더해집니다.",,
TURNTABLE_DETAIL_PROMPT_BUTTON1,충전하기,,
TURNTABLE_DETAIL_BUTTON6,수정하기,,
TURNTABLE_DETAIL_BUTTON7,MIX 수령,,
TURNTABLE_DETAIL_DESC6,메이트 1개당 하루에 받는 MIX 수량,,
